age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
46,admin.,married,secondary,no,1200,yes,no,unknown,29,may,65,2,-1,0,unknown,no
33,technician,single,secondary,no,-14,no,no,cellular,12,aug,93,2,-1,0,unknown,no
37,management,single,tertiary,no,1375,yes,no,unknown,8,nov,45,2,-1,0,unknown,no
57,management,married,tertiary,no,135,no,no,cellular,30,jul,203,4,-1,0,unknown,no
58,blue-collar,married,secondary,no,1622,yes,no,unknown,14,may,54,1,-1,0,unknown,no
27,student,single,tertiary,no,770,yes,no,cellular,15,nov,97,1,97,4,other,no
30,housemaid,single,secondary,no,231,no,no,cellular,11,apr,335,1,-1,0,unknown,no
56,management,married,tertiary,no,1197,no,no,cellular,16,aug,151,5,-1,0,unknown,no
49,services,married,secondary,no,-207,yes,yes,cellular,28,apr,121,1,-1,0,unknown,no
31,student,single,unknown,no,1641,no,no,cellular,8,sep,173,1,94,4,success,yes
57,admin.,single,unknown,no,3161,no,no,cellular,9,jan,45,2,177,1,other,no
30,management,single,tertiary,no,1990,no,no,cellular,20,aug,217,1,-1,0,unknown,no
48,unemployed,single,tertiary,no,635,yes,no,cellular,19,feb,129,1,184,2,failure,no
32,admin.,divorced,secondary,no,-157,no,no,unknown,22,may,155,2,-1,0,unknown,no
36,technician,married,secondary,no,108,yes,no,cellular,14,jan,172,1,-1,0,unknown,no
49,blue-collar,married,secondary,no,1967,no,no,cellular,22,jul,24,5,-1,0,unknown,no
36,admin.,married,secondary,no,157,yes,no,unknown,7,nov,466,1,-1,0,unknown,no
60,unemployed,married,secondary,no,227,no,no,unknown,4,jun,76,1,-1,0,unknown,no
37,technician,divorced,secondary,no,654,no,yes,cellular,2,jul,220,1,259,1,failure,no
53,admin.,married,secondary,no,1412,no,no,cellular,26,apr,568,1,-1,0,unknown,yes
61,management,married,tertiary,no,1000,yes,no,cellular,11,jul,800,2,-1,0,unknown,no
47,blue-collar,divorced,primary,no,138,yes,no,cellular,13,may,10,2,-1,0,unknown,no
74,retired,married,primary,no,271,no,no,unknown,30,oct,626,3,-1,0,unknown,no
58,admin.,married,secondary,no,770,no,yes,cellular,22,jan,137,3,0,0,unknown,no
54,services,married,secondary,no,3284,yes,yes,cellular,28,jun,151,2,86,2,failure,yes
32,admin.,single,secondary,no,910,yes,no,cellular,15,may,598,7,182,1,success,yes
37,blue-collar,single,secondary,no,2921,yes,no,unknown,9,may,350,1,-1,0,unknown,no
54,management,single,tertiary,no,96,no,no,cellular,5,mar,97,1,0,0,unknown,no
44,unemployed,married,tertiary,no,5596,no,no,cellular,26,aug,209,1,182,2,success,no
32,technician,single,tertiary,yes,-28,yes,yes,cellular,12,jul,502,1,-1,0,unknown,no
29,student,single,tertiary,no,870,no,no,cellular,16,may,275,1,0,0,unknown,no
30,admin.,married,secondary,no,1810,yes,no,unknown,24,may,440,1,-1,0,unknown,no
53,management,married,tertiary,no,1922,no,no,cellular,31,oct,1455,1,179,5,success,yes
52,admin.,married,secondary,no,1622,yes,no,cellular,6,may,107,1,121,9,failure,no
28,admin.,married,secondary,no,518,yes,no,unknown,8,may,521,2,-1,0,unknown,yes
40,admin.,single,secondary,no,-35,yes,no,unknown,29,may,243,2,-1,0,unknown,no
35,blue-collar,married,secondary,no,1212,yes,no,cellular,6,may,204,1,-1,0,unknown,no
31,services,married,secondary,no,308,yes,yes,cellular,6,jul,364,1,-1,0,unknown,no
56,housemaid,married,primary,no,5875,no,no,unknown,21,jun,5,5,-1,0,unknown,no
47,management,single,tertiary,no,494,no,no,unknown,20,aug,283,5,0,0,unknown,no
52,management,married,secondary,no,833,yes,yes,cellular,30,may,98,1,260,2,other,no
18,management,single,tertiary,no,1497,no,no,cellular,31,jan,119,1,-1,0,unknown,no
58,retired,married,secondary,no,1842,no,no,telephone,31,jan,37,5,-1,0,unknown,no
61,retired,single,secondary,no,3838,no,no,telephone,14,sep,139,3,-1,0,unknown,yes
57,blue-collar,married,primary,no,8313,yes,no,unknown,22,feb,92,5,-1,0,unknown,no
61,admin.,married,secondary,no,2542,yes,no,cellular,4,may,203,1,238,1,failure,no
52,entrepreneur,married,primary,no,106,yes,no,cellular,7,may,94,5,-1,0,unknown,no
60,unemployed,married,secondary,no,8611,no,no,unknown,17,jun,133,2,-1,0,unknown,no
34,services,divorced,secondary,no,317,no,yes,cellular,9,aug,281,2,-1,0,unknown,no
33,admin.,married,secondary,no,2159,yes,yes,cellular,16,jul,164,1,-1,0,unknown,no
59,admin.,married,secondary,no,470,yes,no,cellular,14,jul,65,9,-1,0,unknown,no
56,blue-collar,married,primary,no,304,no,yes,cellular,14,jul,271,3,-1,0,unknown,no
29,admin.,married,secondary,no,19,yes,no,cellular,19,may,808,2,-1,0,unknown,yes
33,admin.,married,secondary,no,1007,yes,no,cellular,13,may,182,1,344,5,failure,no
43,blue-collar,married,primary,no,2390,yes,no,unknown,22,may,79,2,-1,0,unknown,no
40,management,divorced,tertiary,no,2135,yes,no,unknown,21,jun,143,2,-1,0,unknown,no
53,management,single,tertiary,no,341,no,no,cellular,5,aug,195,2,-1,0,unknown,no
40,management,single,tertiary,no,2012,no,no,cellular,29,aug,273,1,-1,0,unknown,no
34,admin.,single,secondary,no,885,no,no,unknown,20,jun,89,1,0,0,unknown,no
53,admin.,married,secondary,no,3115,yes,no,cellular,5,jan,94,1,271,2,failure,no
34,management,single,tertiary,no,-52,no,no,unknown,16,may,196,2,0,0,unknown,no
44,admin.,married,secondary,no,1343,no,no,cellular,30,apr,577,3,175,8,success,yes
33,admin.,single,tertiary,no,1890,no,no,cellular,12,jan,663,1,-1,0,unknown,no
59,admin.,married,secondary,no,1984,no,yes,cellular,19,jul,83,11,-1,0,unknown,no
23,student,single,unknown,no,889,yes,no,cellular,16,jul,166,1,-1,0,unknown,no
60,self-employed,married,secondary,no,2261,yes,no,unknown,28,may,65,9,-1,0,unknown,no
47,services,single,unknown,no,29,yes,yes,unknown,3,jun,27,1,-1,0,unknown,no
35,admin.,single,secondary,no,138,yes,no,cellular,5,may,146,1,-1,0,unknown,no
36,technician,married,tertiary,no,164,yes,no,cellular,19,aug,137,6,-1,0,unknown,no
35,admin.,married,secondary,no,2413,yes,no,cellular,17,may,175,5,337,2,failure,no
70,retired,married,primary,no,3193,no,no,telephone,27,apr,51,1,-1,0,unknown,no
24,admin.,single,secondary,yes,528,no,yes,cellular,21,jul,121,2,-1,0,unknown,no
44,unemployed,married,secondary,yes,-87,yes,no,unknown,30,may,89,2,-1,0,unknown,no
51,admin.,single,secondary,no,1853,yes,no,cellular,6,mar,148,3,-1,0,unknown,no
49,blue-collar,married,secondary,no,925,yes,no,unknown,20,jun,17,1,-1,0,unknown,no
55,housemaid,married,primary,no,1940,no,no,cellular,19,jan,1156,1,-1,0,unknown,no
57,technician,divorced,unknown,no,54,no,no,cellular,31,aug,114,4,-1,0,unknown,no
46,technician,married,tertiary,no,2278,yes,no,unknown,19,jul,105,1,-1,0,unknown,no
28,student,single,secondary,no,566,no,no,unknown,10,jun,181,1,95,2,success,no
33,technician,single,secondary,no,838,no,no,cellular,6,apr,544,1,-1,4,failure,no
36,admin.,married,secondary,no,-27,yes,yes,cellular,11,may,333,5,-1,0,unknown,no
33,management,married,secondary,no,3376,yes,no,cellular,14,may,693,1,172,9,success,yes
46,services,married,secondary,no,163,no,no,cellular,4,feb,71,5,254,2,failure,no
53,housemaid,married,primary,no,2109,no,no,telephone,11,jan,34,1,-1,11,success,no
49,admin.,divorced,secondary,no,352,no,yes,cellular,27,jul,142,2,-1,0,unknown,no
35,blue-collar,married,secondary,no,975,yes,no,unknown,28,may,125,2,-1,0,unknown,no
33,admin.,married,secondary,no,1543,no,no,cellular,25,mar,1484,1,-1,0,unknown,yes
59,blue-collar,married,primary,no,277,no,no,cellular,26,jul,125,3,0,0,unknown,no
56,blue-collar,married,primary,no,11965,yes,no,cellular,26,nov,42,1,-1,0,unknown,no
29,services,single,secondary,no,-19,yes,no,telephone,20,may,122,1,-1,0,unknown,no
32,blue-collar,married,secondary,no,2876,yes,no,cellular,29,apr,85,1,330,2,success,no
40,admin.,single,secondary,no,1543,yes,no,cellular,15,may,1162,5,177,9,success,yes
57,housemaid,married,secondary,no,7085,yes,no,unknown,4,jun,194,1,-1,0,unknown,no
33,unemployed,married,secondary,no,938,no,no,cellular,27,jul,481,2,-1,0,unknown,no
82,admin.,married,secondary,no,3177,no,no,telephone,6,jan,28,2,260,1,failure,no
28,student,single,secondary,no,706,no,no,cellular,8,may,162,1,270,2,other,no
34,management,married,tertiary,no,291,yes,yes,unknown,16,may,176,1,-1,0,unknown,no
60,management,single,tertiary,no,1888,no,no,cellular,16,sep,213,1,181,4,success,yes
46,services,married,secondary,no,829,no,no,unknown,5,jun,201,1,-1,0,unknown,no
27,admin.,single,tertiary,no,5327,no,no,cellular,26,aug,181,2,137,1,success,no
34,blue-collar,married,secondary,yes,-146,yes,yes,unknown,22,jul,247,2,-1,0,unknown,no
33,management,married,tertiary,no,-186,yes,yes,cellular,28,aug,67,4,-1,0,unknown,no
43,blue-collar,married,secondary,no,-868,yes,yes,unknown,4,may,33,1,0,0,unknown,no
31,blue-collar,single,secondary,no,749,yes,yes,cellular,20,nov,124,2,354,2,failure,no
43,admin.,married,primary,no,3548,yes,no,unknown,21,may,531,1,-1,0,unknown,no
25,management,married,tertiary,no,341,no,yes,cellular,31,jul,94,4,-1,0,unknown,no
58,retired,single,primary,no,6010,no,no,unknown,4,jun,343,1,-1,0,unknown,no
36,management,married,tertiary,no,-31,yes,no,unknown,29,may,247,5,-1,0,unknown,no
32,admin.,married,secondary,no,730,yes,yes,cellular,14,may,121,2,-1,0,unknown,no
34,technician,divorced,secondary,no,5129,yes,yes,cellular,8,aug,167,1,0,0,unknown,no
30,admin.,single,secondary,no,741,yes,no,cellular,6,may,141,1,354,2,failure,no
58,admin.,married,secondary,no,1042,yes,yes,cellular,21,may,62,1,-1,0,unknown,no
49,management,divorced,tertiary,yes,-209,yes,no,unknown,8,may,38,1,-1,0,unknown,no
41,blue-collar,married,secondary,no,48,yes,no,unknown,7,jun,46,1,-1,0,unknown,no
30,admin.,single,secondary,no,98,yes,no,cellular,29,may,186,3,262,1,other,no
60,unknown,married,unknown,no,1056,no,no,unknown,5,jun,414,2,-1,0,unknown,no
60,admin.,married,secondary,no,15473,yes,no,unknown,19,may,120,2,-1,0,unknown,no
43,admin.,single,tertiary,no,9297,yes,no,unknown,5,jun,248,2,-1,0,unknown,no
40,admin.,married,secondary,no,1611,yes,no,cellular,21,nov,136,5,0,0,unknown,no
34,services,married,secondary,no,-184,yes,no,unknown,28,may,340,5,-1,0,unknown,no
54,admin.,married,tertiary,no,170,yes,no,cellular,29,jan,136,2,-1,0,unknown,no
43,technician,married,secondary,no,112,yes,no,unknown,27,jun,139,3,-1,0,unknown,no
34,student,single,secondary,no,681,no,no,cellular,29,feb,255,2,350,2,other,no
44,unemployed,single,tertiary,no,8267,no,no,cellular,6,sep,68,1,-1,0,unknown,no
71,retired,married,primary,no,323,no,yes,cellular,8,jan,107,3,-1,0,unknown,no
68,blue-collar,married,primary,no,471,yes,no,cellular,7,may,752,2,0,0,unknown,no
29,technician,married,tertiary,yes,-342,no,yes,cellular,13,jul,675,10,-1,0,unknown,no
58,blue-collar,married,primary,no,1621,yes,no,cellular,1,apr,133,2,-1,0,unknown,no
43,management,single,tertiary,no,3532,no,no,cellular,20,nov,4,1,-1,0,unknown,no
29,student,single,secondary,no,852,no,no,unknown,30,may,141,1,339,1,unknown,no
45,admin.,married,secondary,no,4929,yes,yes,cellular,27,may,140,1,-1,0,unknown,no
26,management,single,tertiary,no,2626,no,no,cellular,13,nov,201,1,145,5,other,no
45,management,divorced,tertiary,no,-77,no,no,cellular,3,feb,39,1,188,2,failure,no
32,admin.,single,secondary,yes,-71,yes,no,cellular,8,jul,132,1,-1,0,unknown,no
45,admin.,married,tertiary,yes,2058,no,yes,unknown,29,may,169,1,-1,0,unknown,no
45,management,single,tertiary,no,5850,no,no,cellular,8,nov,68,1,185,1,failure,no
25,admin.,single,secondary,no,-582,yes,no,cellular,31,may,162,2,-1,0,unknown,no
33,management,divorced,tertiary,no,1442,no,yes,cellular,26,mar,102,4,181,5,unknown,no
23,technician,married,secondary,no,2313,no,no,cellular,29,jul,1418,1,-1,0,unknown,yes
29,blue-collar,single,unknown,yes,3948,yes,no,cellular,1,jan,687,1,94,2,unknown,no
60,unknown,married,unknown,no,-142,no,no,cellular,4,feb,120,1,-1,0,unknown,no
34,services,married,secondary,no,48,yes,no,unknown,20,may,101,1,-1,0,unknown,no
32,technician,single,secondary,no,2565,no,no,unknown,6,jun,28,2,0,0,unknown,no
46,admin.,married,secondary,no,-81,yes,no,unknown,4,jun,49,5,0,0,unknown,no
46,management,divorced,tertiary,yes,454,no,no,cellular,11,nov,102,1,192,3,failure,no
35,self-employed,single,secondary,no,3172,no,no,cellular,21,aug,116,2,-1,0,unknown,no
56,management,single,secondary,no,4138,no,no,cellular,12,oct,602,1,95,9,success,yes
32,blue-collar,married,tertiary,no,2463,yes,no,cellular,5,may,243,1,172,2,failure,no
56,housemaid,married,secondary,no,19,yes,no,cellular,20,jan,142,8,-1,0,unknown,no
58,management,married,primary,no,-69,yes,no,unknown,29,may,56,5,-1,0,unknown,no
45,management,married,tertiary,no,12219,no,yes,cellular,31,jul,149,15,-1,0,unknown,no
48,management,married,secondary,no,9,no,no,cellular,24,jul,91,10,-1,0,unknown,no
42,admin.,divorced,secondary,no,2471,yes,no,unknown,17,may,692,1,-1,2,unknown,no
32,student,single,secondary,no,3179,no,no,cellular,6,feb,128,2,259,3,failure,no
32,blue-collar,single,secondary,no,458,no,no,cellular,28,jan,89,1,96,5,failure,no
49,technician,married,primary,no,2502,no,no,cellular,21,aug,63,22,-1,0,unknown,no
35,admin.,single,secondary,no,171,no,no,cellular,15,aug,91,3,-1,0,unknown,no
32,blue-collar,married,secondary,no,846,yes,yes,cellular,28,jul,571,2,-1,0,unknown,yes
54,management,single,tertiary,no,2179,no,no,cellular,29,nov,87,2,91,1,unknown,no
58,retired,divorced,secondary,no,1125,yes,no,cellular,29,aug,1008,2,-1,0,unknown,yes
58,blue-collar,married,primary,no,2569,yes,no,cellular,29,apr,95,1,-1,0,unknown,no
42,technician,married,tertiary,no,13393,no,yes,cellular,28,aug,165,1,-1,0,unknown,no
48,housemaid,single,unknown,no,5599,no,no,cellular,28,jan,57,2,-1,0,unknown,no
38,admin.,married,secondary,no,-3,yes,yes,unknown,6,may,161,7,-1,0,unknown,no
37,management,divorced,tertiary,no,19,yes,no,cellular,29,jul,102,1,-1,0,unknown,no
34,admin.,married,secondary,no,3928,yes,no,unknown,18,jul,1155,1,-1,0,unknown,no
33,admin.,single,secondary,yes,143,yes,no,unknown,7,may,67,5,-1,0,unknown,yes
33,technician,single,unknown,no,402,no,no,cellular,6,aug,164,3,-1,0,unknown,no
49,management,divorced,primary,no,1953,no,no,unknown,21,may,80,2,-1,0,unknown,no
35,admin.,single,secondary,no,-65,yes,no,unknown,5,may,507,1,-1,0,unknown,no
31,admin.,single,secondary,no,195,yes,no,cellular,30,aug,112,2,177,0,failure,no
51,self-employed,married,secondary,yes,150,no,no,cellular,18,apr,102,3,-1,0,unknown,no
37,management,divorced,tertiary,no,6674,no,no,cellular,16,aug,513,2,-1,0,unknown,yes
33,admin.,married,secondary,no,8498,no,no,cellular,20,apr,28,1,-1,0,unknown,no
32,management,divorced,tertiary,no,-52,yes,no,cellular,19,nov,707,1,-1,0,unknown,no
43,admin.,married,secondary,no,3649,yes,yes,cellular,22,apr,117,2,-1,0,unknown,no
82,retired,divorced,secondary,no,8940,yes,no,cellular,28,jul,202,1,-1,0,unknown,no
43,management,married,tertiary,no,140,no,yes,cellular,28,jan,427,2,0,0,unknown,no
46,blue-collar,married,primary,no,573,no,no,cellular,7,feb,79,1,182,3,other,no
30,management,single,secondary,no,-128,yes,no,cellular,15,may,429,5,452,5,failure,no
36,services,single,secondary,no,280,yes,no,cellular,2,nov,126,5,256,5,failure,no
32,blue-collar,single,secondary,no,2126,yes,no,unknown,12,may,675,2,-1,0,unknown,no
29,services,married,secondary,no,1534,yes,no,cellular,21,nov,68,1,81,4,failure,no
34,admin.,married,secondary,no,605,no,yes,cellular,29,feb,153,1,264,2,failure,no
53,admin.,single,secondary,no,265,yes,no,unknown,15,may,235,1,-1,0,unknown,no
38,admin.,divorced,secondary,no,1227,yes,no,unknown,17,jun,15,1,-1,0,unknown,no
55,self-employed,married,tertiary,no,703,yes,no,unknown,29,jun,28,2,-1,0,unknown,no
30,blue-collar,married,secondary,no,815,yes,no,unknown,19,may,183,4,-1,0,unknown,no
33,admin.,married,secondary,yes,546,yes,no,unknown,22,may,65,2,-1,0,unknown,no
22,housemaid,single,secondary,no,170,no,no,cellular,20,jul,56,5,-1,0,unknown,no
55,management,single,tertiary,no,533,no,no,cellular,19,feb,109,1,127,0,unknown,no
29,management,married,secondary,no,324,no,no,cellular,30,jul,185,1,-1,0,unknown,no
47,management,married,tertiary,no,1099,no,no,cellular,30,nov,124,5,-1,0,failure,no
39,housemaid,married,tertiary,no,1060,no,no,cellular,2,jan,134,1,178,2,failure,no
39,management,married,tertiary,no,1582,no,no,cellular,18,nov,346,2,193,2,failure,yes
26,management,single,tertiary,no,634,no,no,cellular,29,may,96,1,-1,0,unknown,yes
58,management,married,primary,no,255,yes,no,cellular,8,jul,127,1,-1,0,unknown,no
29,services,married,primary,no,500,yes,no,cellular,14,may,92,3,275,2,failure,no
32,technician,married,secondary,no,657,no,no,cellular,30,aug,120,5,-1,0,unknown,no
34,management,divorced,tertiary,no,287,yes,no,cellular,8,may,143,1,273,2,failure,no
31,services,divorced,tertiary,no,426,yes,yes,cellular,9,may,146,1,327,2,failure,no
44,blue-collar,married,secondary,no,867,yes,no,cellular,21,jul,165,1,-1,0,unknown,no
55,blue-collar,married,primary,no,8336,yes,no,unknown,5,may,1193,2,-1,0,unknown,no
44,admin.,married,secondary,no,165,yes,yes,cellular,28,may,167,2,251,1,failure,no
39,admin.,married,secondary,no,2409,yes,no,unknown,21,may,134,20,0,0,unknown,no
41,blue-collar,married,primary,no,2843,yes,no,cellular,5,jan,106,1,280,2,failure,no
34,management,married,tertiary,no,179,yes,no,cellular,22,nov,336,2,-1,0,unknown,no
37,management,married,tertiary,no,4337,yes,no,cellular,21,nov,338,1,188,0,other,no
57,admin.,married,secondary,yes,1450,no,yes,unknown,21,may,327,3,-1,0,unknown,no
38,management,married,tertiary,no,213,no,no,cellular,6,apr,88,2,-1,0,unknown,no
67,admin.,married,tertiary,no,5342,no,yes,cellular,7,nov,107,1,-1,0,unknown,yes
34,blue-collar,married,secondary,no,322,yes,no,cellular,2,may,132,1,94,2,failure,no
56,technician,married,secondary,no,51,no,no,cellular,3,aug,1668,2,168,2,other,no
32,admin.,married,secondary,no,121,yes,yes,unknown,30,may,699,3,-1,0,unknown,no
33,admin.,single,unknown,no,3586,yes,yes,telephone,29,apr,89,2,0,0,unknown,no
46,blue-collar,single,secondary,no,413,yes,no,cellular,28,mar,487,1,179,2,failure,yes
36,blue-collar,married,primary,no,782,yes,no,unknown,2,jun,141,1,-1,0,unknown,no
74,retired,married,secondary,no,8684,no,no,telephone,30,sep,142,3,-1,0,unknown,yes
45,management,married,tertiary,no,68,yes,no,cellular,5,apr,500,20,-1,0,unknown,no
35,admin.,married,secondary,no,40,yes,yes,unknown,29,jul,442,1,-1,0,unknown,no
29,blue-collar,single,unknown,no,358,no,no,cellular,6,feb,283,2,115,3,failure,yes
50,admin.,single,secondary,no,934,no,no,cellular,29,feb,132,1,175,3,success,yes
27,technician,single,secondary,no,-27,yes,yes,cellular,8,may,118,5,-1,0,unknown,no
44,technician,single,primary,no,5628,no,no,cellular,20,sep,38,2,-1,0,unknown,no
38,management,single,tertiary,no,4047,no,no,cellular,9,sep,356,3,87,9,success,yes
57,student,married,secondary,no,2403,no,no,cellular,3,sep,337,2,181,9,success,yes
34,management,single,tertiary,no,-252,yes,no,cellular,16,jan,160,1,180,5,failure,no
23,management,single,tertiary,no,14043,no,no,cellular,14,aug,719,4,-1,0,unknown,yes
36,blue-collar,single,secondary,no,604,no,no,cellular,20,aug,210,5,-1,0,unknown,no
58,admin.,married,primary,no,523,no,no,cellular,5,feb,59,2,-1,2,failure,no
28,technician,married,tertiary,no,425,yes,no,unknown,17,may,169,2,-1,0,unknown,no
59,management,married,tertiary,no,292,no,yes,cellular,4,aug,829,1,76,2,unknown,yes
34,services,single,secondary,no,-92,yes,no,unknown,22,may,214,2,-1,0,unknown,no
57,blue-collar,married,primary,no,3131,no,no,cellular,29,sep,352,2,-1,0,unknown,no
27,management,single,tertiary,no,518,yes,no,cellular,9,may,121,1,-1,0,unknown,no
60,unemployed,divorced,tertiary,no,4659,no,no,unknown,21,jun,86,1,-1,0,unknown,no
47,admin.,married,secondary,no,1350,yes,yes,cellular,24,apr,76,1,-1,2,failure,no
31,blue-collar,married,secondary,no,422,yes,no,cellular,21,may,160,1,-1,0,unknown,no
59,unknown,married,unknown,no,2473,no,no,unknown,12,oct,160,3,-1,0,unknown,no
37,blue-collar,married,secondary,no,3286,yes,no,unknown,22,jun,404,1,-1,0,unknown,no
32,admin.,married,primary,yes,-156,yes,yes,cellular,14,may,119,1,-1,0,unknown,no
42,admin.,single,primary,no,370,no,no,unknown,17,jun,116,3,-1,0,unknown,no
45,blue-collar,married,primary,no,4334,yes,no,unknown,19,may,36,5,-1,0,unknown,no
52,housemaid,married,secondary,no,513,no,no,telephone,1,jun,130,1,85,2,other,no
56,admin.,divorced,secondary,no,239,yes,yes,cellular,10,jan,144,1,-1,0,unknown,no
33,student,single,secondary,no,852,yes,no,cellular,3,feb,318,1,252,2,other,no
63,admin.,married,secondary,no,903,no,yes,cellular,7,feb,246,4,256,2,other,no
27,blue-collar,single,tertiary,no,4755,no,no,cellular,9,nov,524,1,-1,0,unknown,yes
44,management,married,tertiary,no,4278,no,no,cellular,29,aug,50,5,0,0,unknown,no
34,management,married,tertiary,no,754,no,no,cellular,16,aug,95,1,-1,0,unknown,no
38,admin.,married,secondary,no,-595,yes,yes,unknown,11,may,79,2,-1,0,unknown,no
36,blue-collar,married,secondary,no,597,yes,no,unknown,11,may,192,1,341,0,failure,no
38,student,single,tertiary,no,3307,no,no,unknown,3,jun,63,1,91,2,failure,no
60,blue-collar,married,primary,no,810,yes,no,cellular,29,jul,1076,3,-1,0,unknown,no
30,technician,single,secondary,no,423,no,no,cellular,8,feb,207,5,187,1,other,no
43,entrepreneur,married,secondary,no,75,no,no,cellular,15,aug,169,4,-1,0,unknown,no
41,admin.,married,secondary,no,538,yes,no,cellular,29,jan,224,5,422,2,failure,no
26,blue-collar,married,primary,no,3709,yes,no,unknown,21,may,49,1,-1,0,unknown,no
26,blue-collar,married,secondary,no,320,yes,yes,cellular,13,may,224,5,-1,0,unknown,no
30,technician,single,secondary,no,61,yes,no,cellular,6,nov,92,1,257,2,failure,no
34,blue-collar,married,primary,no,3030,no,no,cellular,8,apr,493,1,-1,0,unknown,no
29,management,single,tertiary,no,1494,yes,no,unknown,13,may,413,1,-1,0,unknown,no
34,student,single,secondary,no,137,no,no,cellular,14,feb,121,3,180,3,failure,yes
35,technician,divorced,secondary,no,-352,no,yes,cellular,29,aug,190,7,0,0,unknown,no
51,technician,married,tertiary,no,1328,no,no,telephone,30,jan,9,10,-1,0,unknown,no
30,blue-collar,single,secondary,no,759,no,no,cellular,22,jan,56,1,273,2,other,no
25,student,single,primary,no,1717,no,no,unknown,31,jun,437,4,-1,0,unknown,yes
36,management,single,tertiary,no,771,yes,yes,unknown,20,jun,85,3,-1,0,unknown,no
31,self-employed,single,tertiary,no,2440,no,no,unknown,20,jun,41,3,-1,0,unknown,no
39,blue-collar,married,secondary,no,857,yes,yes,cellular,25,jul,97,3,-1,0,unknown,no
58,blue-collar,married,secondary,no,3823,no,yes,telephone,30,jan,97,1,-1,0,unknown,no
34,management,married,secondary,no,222,yes,yes,unknown,13,may,656,2,-1,0,unknown,no
32,management,single,tertiary,no,280,yes,no,cellular,4,jul,142,1,-1,0,unknown,yes
32,management,single,tertiary,no,312,no,no,cellular,12,may,111,1,108,2,success,yes
69,retired,married,primary,no,2110,no,no,cellular,29,jan,64,1,-1,0,unknown,no
51,housemaid,married,primary,no,2946,no,no,telephone,30,apr,42,2,-1,0,unknown,no
50,blue-collar,married,primary,no,911,yes,no,cellular,16,may,63,1,-1,0,unknown,no
28,services,single,secondary,yes,-549,yes,no,unknown,16,may,263,3,-1,0,unknown,no
57,management,divorced,tertiary,no,664,yes,no,cellular,28,apr,82,2,252,2,failure,no
24,blue-collar,single,primary,no,91,yes,no,unknown,6,may,215,2,-1,0,unknown,no
73,housemaid,married,primary,no,2042,no,no,telephone,30,mar,4,2,-1,0,unknown,no
27,management,single,tertiary,no,1764,no,no,cellular,11,aug,260,1,-1,0,unknown,yes
32,admin.,single,secondary,no,-412,yes,no,unknown,16,may,98,5,-1,0,unknown,no
60,retired,divorced,secondary,no,2895,no,no,cellular,28,oct,107,2,-1,0,unknown,yes
30,technician,single,secondary,no,5157,no,no,unknown,21,may,416,3,-1,0,unknown,no
33,services,married,primary,no,429,yes,no,cellular,20,apr,167,5,-1,0,unknown,no
39,admin.,married,unknown,no,5747,no,no,unknown,20,jun,209,2,-1,0,unknown,no
31,technician,divorced,tertiary,no,2864,no,no,cellular,22,jul,44,4,-1,0,unknown,no
58,admin.,married,secondary,no,4235,yes,yes,cellular,22,nov,143,1,-1,0,unknown,no
58,admin.,single,primary,no,278,no,no,unknown,20,mar,0,5,-1,0,unknown,no
35,admin.,single,tertiary,no,2117,yes,yes,cellular,28,may,792,1,-1,0,unknown,no
45,management,married,tertiary,no,288,yes,no,cellular,28,may,58,5,130,2,failure,no
61,self-employed,married,secondary,yes,196,no,yes,unknown,13,jul,189,4,-1,0,unknown,no
84,retired,divorced,unknown,no,2342,no,no,telephone,28,sep,149,1,-1,0,unknown,yes
31,management,single,secondary,no,180,no,no,cellular,29,sep,270,2,-1,0,unknown,no
51,services,married,tertiary,no,177,yes,yes,cellular,6,feb,193,3,182,1,failure,no
32,blue-collar,married,secondary,no,2579,yes,no,unknown,9,may,693,2,-1,0,unknown,no
31,management,single,tertiary,no,1391,no,no,cellular,4,aug,160,1,-1,0,unknown,no
25,student,single,tertiary,no,1732,no,no,cellular,12,oct,163,1,-1,0,unknown,no
35,housemaid,married,primary,no,1346,no,no,telephone,30,apr,369,2,-1,0,unknown,no
44,blue-collar,married,primary,no,77,yes,no,cellular,27,apr,55,2,-1,0,unknown,no
56,blue-collar,married,primary,yes,-55,yes,no,telephone,22,may,230,5,-1,0,unknown,no
22,blue-collar,single,tertiary,no,983,no,no,unknown,8,may,651,1,-1,0,unknown,no
39,admin.,married,secondary,no,141,yes,no,unknown,11,may,79,10,-1,0,unknown,no
31,unemployed,divorced,secondary,no,557,yes,no,cellular,27,may,123,5,169,1,other,no
26,management,single,tertiary,no,459,no,no,cellular,6,may,404,2,-1,0,unknown,no
30,management,single,tertiary,no,117,no,yes,cellular,23,jul,108,1,-1,0,unknown,no
26,blue-collar,married,primary,no,633,yes,no,cellular,10,jul,212,2,-1,0,unknown,no
31,management,single,tertiary,no,1256,no,no,cellular,6,jul,152,2,-1,0,unknown,no
59,housemaid,married,primary,no,1400,no,yes,unknown,9,jun,730,2,0,0,unknown,no
36,blue-collar,married,secondary,no,-19,yes,yes,cellular,29,jul,74,2,-1,0,unknown,no
42,management,married,secondary,no,159,yes,no,unknown,12,may,539,5,-1,0,unknown,no
34,management,divorced,secondary,no,987,yes,no,telephone,14,apr,45,2,336,6,failure,no
